Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Ares,FYBR,"$4,009,201.55",$23.77,"168,692",Large Shareholder,2023-03-13,1,Purchase
Ares,CCO,"$897,350.00",$1.79,"500,000",Large Shareholder,2023-01-30,1,Purchase
Ares,CCO,"$897,350.00",$1.79,"500,000",Large Shareholder,2023-01-30,1,Purchase
Ares,CCO,"$944,993.30",$1.80,"525,902",Large Shareholder,2023-01-27,1,Purchase
Ares,CCO,"$944,993.30",$1.80,"525,902",Large Shareholder,2023-01-27,1,Purchase
Ares,CCO,"$1,036,514.47",$1.73,"597,518",Large Shareholder,2023-01-26,1,Purchase
Ares,CCO,"$1,036,514.47",$1.73,"597,518",Large Shareholder,2023-01-26,1,Purchase
Ares,CCO,"$1,366,400.00",$1.56,"875,000",Large Shareholder,2023-01-25,1,Purchase
Ares,CCO,"$1,366,400.00",$1.56,"875,000",Large Shareholder,2023-01-25,1,Purchase
Ares,CCO,"$1,186,910.20",$1.65,"721,000",Large Shareholder,2023-01-24,1,Purchase
Ares,CCO,"$1,186,910.20",$1.65,"721,000",Large Shareholder,2023-01-24,1,Purchase
Ares,CCO,"$1,206,106.00",$1.65,"730,000",Large Shareholder,2023-01-23,1,Purchase
Ares,CCO,"$1,206,106.00",$1.65,"730,000",Large Shareholder,2023-01-23,1,Purchase
Ares,CCO,"$720,900.00",$1.44,"500,000",Large Shareholder,2023-01-20,1,Purchase
Ares,CCO,"$720,900.00",$1.44,"500,000",Large Shareholder,2023-01-20,1,Purchase
Ares,CCO,"$958,580.00",$1.37,"700,000",Large Shareholder,2023-01-18,1,Purchase
Ares,CCO,"$958,580.00",$1.37,"700,000",Large Shareholder,2023-01-18,1,Purchase
Ares,CCO,"$544,120.00",$1.36,"400,000",Large Shareholder,2023-01-17,1,Purchase
Ares,CCO,"$544,120.00",$1.36,"400,000",Large Shareholder,2023-01-17,1,Purchase
Ares,GBTG,"$639,804.03",$8.47,"75,568",Large Shareholder,2022-06-06,3,Purchase
Ares,GBTG,"$1,054,889.85",$8.56,"123,278",Large Shareholder,2022-06-01,3,Purchase
Ares,GBTG,"$1,270,740.00",$8.47,"150,000",Large Shareholder,2022-05-31,3,Purchase
Arctis,REKR,"$2,513,730.80",$1.31,"1,918,000",,2023-06-23,1,Purchase
Arctis,HYRE,"$999,999.57",$0.86,"1,157,943",,2022-09-07,1,Purchase
Arctis,REKR,"$523,803.94",$2.15,"243,902",,2022-06-16,1,Purchase
Arch,PRME,"$6,800,000.00",$17.00,"400,000",Large Shareholder,2022-10-24,4,Purchase
Arch,PRME,"$6,800,000.00",$17.00,"400,000",Large Shareholder,2022-10-24,4,Purchase
Arch,CDAK,"$7,500,000.00",$1.50,"5,000,000",Large Shareholder,2022-09-13,1,Purchase
Aquilo,SPRO,"$1,448,262.50",$11.59,"125,000",Large Shareholder,2022-01-31,1,Purchase
Aquilo,SPRO,"$601,963.97",$12.41,"48,488",Large Shareholder,2022-01-18,1,Purchase
Aquila,GOEV,"$5,000,000.55",$1.11,"4,504,505","Large Shareholder, Officer, Director",2022-11-21,1,Purchase
Aquila,GOEV,"$515,800.00",$2.58,"200,000","Large Shareholder, Officer, Director",2022-09-13,1,Purchase
Aquila,GOEV,"$797,000.00",$3.99,"200,000","Large Shareholder, Officer, Director",2022-08-12,1,Purchase
Apollo,GBTG,"$20,000,000.00",$10.00,"2,000,000",Large Shareholder,2022-05-27,3,Purchase
Apollo,TAKAX,"$30,000,000.00",$25.00,"1,200,000",Large Shareholder,2022-09-01,3,Purchase
Apollo,TAKAX,"$6,000,000.00",$25.00,"240,000",Large Shareholder,2022-05-11,3,Purchase
Apollo,TAKAX,"$17,000,000.00",$25.00,"680,000",Large Shareholder,2022-05-11,3,Purchase
Apeiron,ATAI,"$1,600,443.45",$1.32,"1,214,297",Large Shareholder,2023-03-29,1,Purchase
Antoun,FSLR,"$999,871.38",$100.53,"9,946",Officer,2022-08-05,1,Purchase
Antara,"AMC,APE","$2,468,232.00",$6.48,"380,900",,2023-03-03,1,Purchase
Ann,HTLD,"$540,848.98",$14.90,"36,302","Large Shareholder, Other",2023-05-04,2,Purchase
Ann,HTLD,"$838,700.48",$15.89,"52,778","Large Shareholder, Other",2023-03-14,2,Purchase
Anglogold,KOR,"$334,287,263.67",$3.27,"102,228,521",,2022-01-18,1,Purchase
Angell,TMGI,"$666,666.67",$0.00,"666,666,668","Large Shareholder, Officer, Director, Other",2022-09-20,2,Purchase
Angell,TMGI,"$666,666.67",$0.00,"666,666,668",Large Shareholder,2022-09-20,2,Purchase
Anderson,LYRA,"$2,924,777.16",$2.43,"1,203,612","Large Shareholder, Director",2023-05-31,4,Purchase
Anderson,LYRA,"$981,374.94",$2.43,"403,858","Large Shareholder, Director",2023-05-31,4,Purchase
Anderson,LYRA,"$3,228,342.20",$4.22,"765,010","Large Shareholder, Director",2022-04-12,4,Purchase
Anderson,LYRA,"$2,227,341.32",$4.22,"527,806","Large Shareholder, Director",2022-04-12,4,Purchase
Anderson,LYRA,"$4,544,311.22",$4.22,"1,076,851","Large Shareholder, Director",2022-04-12,4,Purchase
Andersen,MACK,"$1,467,751.68",$11.52,"127,409",,2023-03-21,2,Purchase
Andersen,MACK,"$2,004,293.24",$10.55,"189,975","Director, Other",2022-12-29,2,Purchase
American,TAKAX,"$10,000,000.00",$25.00,"400,000",Large Shareholder,2023-06-14,3,Purchase
American,TAKAX,"$10,000,000.00",$25.00,"400,000",Large Shareholder,2023-06-14,3,Purchase
American,TAKAX,"$18,000,000.00",$25.00,"720,000",Large Shareholder,2022-09-01,3,Purchase
American,VVX,"$1,922,257.66",$42.68,"45,040",,2022-09-14,2,Purchase
American,VVX,"$572,538.79",$41.23,"13,887",,2022-09-13,2,Purchase
American,VVX,"$4,713,973.26",$40.28,"117,040",,2022-09-13,2,Purchase
American,VVX,"$5,766,621.89",$39.37,"146,487",,2022-09-13,2,Purchase
American,VVX,"$629,770.42",$37.97,"16,586",,2022-09-13,2,Purchase
American,VVX,"$618,819.95",$37.85,"16,351",,2022-09-12,2,Purchase
Allison,KVUE,"$525,232.00",$26.26,"20,000",Director,2023-05-11,1,Purchase
Allison,SBUX,"$925,320.00",$92.53,"10,000",Director,2022-09-15,3,Purchase
Allison,CRK,"$975,000.00",$19.50,"50,000",,2022-09-16,2,Purchase
Allied,AMEH,"$9,250,000.00",$37.00,"250,000",Large Shareholder,2022-06-17,1,Purchase
Allianz,REFLX,"$15,000,000.00",$10.07,"1,489,573",,2022-12-16,4,Purchase
Allianz,REFLX,"$14,900,000.00",$10.00,"1,490,000",,2022-11-17,4,Purchase
Allianz,CAFLX,"$24,900,000.00",$10.00,"2,490,000",,2022-06-27,1,Purchase
Allen,KO,"$1,997,952.76",$60.18,"33,200",Director,2022-10-28,1,Purchase
Alias,RPAY,"$515,250.00",$6.87,"75,000","Officer, Director",2022-11-11,3,Purchase
Alexos,UNVR,"$654,665.00",$26.19,"25,000",Officer,2022-08-10,1,Purchase
Alexandria,APLT,"$2,065,000.00",$1.00,"2,065,000",Large Shareholder,2022-06-27,1,Purchase
Alexandria,APLT,"$1,435,000.00",$1.00,"1,435,000",Large Shareholder,2022-06-27,1,Purchase
Aldrich,CNCE,"$999,998.50",$4.75,"210,526",Director,2022-06-06,1,Purchase
Alarie,CTM,"$1,924,250,000.00","$38,485.00","50,000",Director,2022-11-29,8,Purchase
Al-Rumayyan,UBER,"$5,145,000.00",$20.58,"250,000",,2022-06-21,2,Purchase
Akkaraju,MLYS,"$15,000,000.00",$16.00,"937,500","Large Shareholder, Director",2023-02-14,4,Purchase
Akkaraju,KDNY,"$7,980,000.00",$14.00,"570,000",Director,2022-05-27,1,Purchase
Akicv,AKICU,"$55,000,000.00",$10.00,"5,500,000",Large Shareholder,2022-01-25,1,Purchase
Ajp,SONM,"$4,649,300.04",$0.84,"5,534,881",Large Shareholder,2022-08-08,3,Purchase
Ajjarapu,MEDS,"$130,000,000.00","$13,000.00","10,000","Large Shareholder, Officer, Director",2022-05-20,1,Purchase
Aib,AIB,"$3,456,250.00",$10.00,"345,625",Large Shareholder,2022-01-21,2,Purchase
Ai,IRON,"$10,000,009.00",$23.00,"434,783",Large Shareholder,2023-02-15,3,Purchase
Ai,DAWN,"$9,999,990.00",$13.00,"769,230",Large Shareholder,2023-06-09,3,Purchase
Ai,DAWN,"$18,000,000.00",$15.00,"1,200,000",Large Shareholder,2022-06-17,3,Purchase
Ai,DAWN,"$864,565.78",$14.70,"58,818",Large Shareholder,2022-01-19,3,Purchase
Ai,DAWN,"$619,367.03",$14.26,"43,429",Large Shareholder,2022-01-18,3,Purchase
Aggarwal,SRRA,"$21,600,000.00",$27.00,"800,000","Large Shareholder, Director",2022-01-31,6,Purchase
Adjuvant,ANTX,"$2,499,990.00",$15.00,"166,666",Large Shareholder,2022-03-29,4,Purchase
Adjuvant,ANTX,"$2,499,990.00",$15.00,"166,666",Large Shareholder,2022-03-29,4,Purchase
Adelman,UP,"$648,825.00",$2.60,"250,000",Director,2022-06-01,1,Purchase
Adelman,UP,"$619,800.00",$3.10,"200,000",Director,2022-03-14,1,Purchase
Adams,SEAS,"$1,990,170.00",$51.03,"39,000",Officer,2022-08-30,1,Purchase
Acosta,VBTX,"$1,000,008.00",$38.00,"26,316",Director,2022-03-08,2,Purchase
Ackermann,TARS,"$1,350,000.00",$13.50,"100,000",Director,2022-05-05,1,Purchase
Access,VRNA,"$6,300,000.00",$1.31,"4,800,000",Large Shareholder,2022-08-15,1,Purchase
Accel,FRSH,"$1,249,471.05",$14.97,"83,465",Other,2022-12-13,4,Purchase
Accel,FRSH,"$3,991,993.10",$14.90,"267,919",Other,2022-12-09,4,Purchase
Accel,FRSH,"$3,965,201.20",$14.80,"267,919",Other,2022-12-08,4,Purchase
Accel,FRSH,"$3,721,394.91",$13.89,"267,919",Other,2022-12-07,4,Purchase
Accel,FRSH,"$3,718,715.72",$13.88,"267,919",Other,2022-12-06,4,Purchase
Accel,FRSH,"$3,844,637.65",$14.35,"267,919",Other,2022-12-05,4,Purchase
Accel,FRSH,"$5,854,368.38",$14.66,"399,343",Other,2022-09-20,4,Purchase
Accel,FRSH,"$4,645,812.18",$14.78,"314,331",Other,2022-09-19,4,Purchase
Accel,FRSH,"$1,712,142.08",$14.96,"114,448",Other,2022-09-16,4,Purchase
Accel,FRSH,"$1,707,519.00",$14.75,"115,764",Other,2022-09-14,4,Purchase
Accel,FRSH,"$5,289,356.80",$14.56,"363,280",Other,2022-09-13,4,Purchase
Accel,FRSH,"$2,507,825.50",$14.87,"168,650",Other,2022-09-12,4,Purchase
Accel,FRSH,"$2,653,425.30",$14.55,"182,366",Other,2022-09-09,4,Purchase
Abingworth,SRRA,"$4,050,000.00",$27.00,"150,000",Large Shareholder,2022-01-31,6,Purchase
Abg,MDVL,"$3,159,999.31",$1.06,"2,974,117",Large Shareholder,2022-04-04,1,Purchase
Abg,MDVL,"$11,839,999.56",$1.06,"11,143,529",Large Shareholder,2022-04-04,1,Purchase
Abel,BRK.A,"$815,245.02","$407,622.51",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$815,200.00","$407,600.00",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$814,360.00","$407,180.00",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$814,274.00","$407,137.00",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$814,250.00","$407,125.00",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$1,221,000.00","$407,000.00",3,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$4,065,000.00","$406,500.00",10,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$812,795.74","$406,397.87",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$2,844,100.00","$406,300.00",7,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$812,597.12","$406,298.56",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$2,030,500.00","$406,100.00",5,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$812,139.48","$406,069.74",2,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$1,218,150.00","$406,050.00",3,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$3,654,000.00","$406,000.00",9,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$1,623,820.00","$405,955.00",4,"Officer, Director",2022-09-29,1,Purchase
Abel,BRK.A,"$5,681,200.00","$405,800.00",14,"Officer, Director",2022-09-29,1,Purchase
Abdiel,APPN,"$810,081.40",$37.30,"21,718",Large Shareholder,2023-01-19,2,Purchase
Abdiel,APPN,"$2,757,251.39",$36.71,"75,109",Large Shareholder,2023-01-19,2,Purchase
Abdiel,APPN,"$6,155,067.02",$37.39,"164,618",Large Shareholder,2023-01-18,2,Purchase
Abdiel,APPN,"$1,011,161.29",$37.13,"27,233",Large Shareholder,2023-01-17,2,Purchase
Abdiel,APPN,"$1,391,746.40",$35.54,"39,160",Large Shareholder,2023-01-13,2,Purchase
Abdiel,APPN,"$975,190.58",$34.58,"28,201",Large Shareholder,2023-01-12,2,Purchase
Abdiel,APPN,"$1,725,262.72",$32.42,"53,216",Large Shareholder,2023-01-11,2,Purchase
Abdiel,APPN,"$3,612,789.09",$31.77,"113,717",Large Shareholder,2023-01-11,2,Purchase
Abdiel,APPN,"$1,161,897.40",$41.66,"27,890",Large Shareholder,2022-11-15,2,Purchase
Abdiel,APPN,"$1,515,729.51",$39.23,"38,637",Large Shareholder,2022-11-14,2,Purchase
Abdiel,APPN,"$4,277,025.24",$40.29,"106,156",Large Shareholder,2022-11-11,2,Purchase
Abdiel,APPN,"$3,445,879.92",$39.76,"86,667",Large Shareholder,2022-11-10,2,Purchase
Abdiel,APPN,"$703,582.38",$35.61,"19,758",Large Shareholder,2022-11-09,2,Purchase
Abdiel,CRCT,"$871,225.82",$8.42,"103,471",Large Shareholder,2022-11-08,1,Purchase
Abdiel,CRCT,"$1,093,076.85",$8.53,"128,145",Large Shareholder,2022-11-07,1,Purchase
Abdiel,CRCT,"$507,121.16",$8.89,"57,044",Large Shareholder,2022-11-04,1,Purchase
Abdiel,APPN,"$980,319.16",$49.24,"19,909",Large Shareholder,2022-11-02,2,Purchase
Abdiel,APPN,"$1,675,971.00",$48.60,"34,485",Large Shareholder,2022-11-02,2,Purchase
Abdiel,APPN,"$1,966,762.38",$47.73,"41,206",Large Shareholder,2022-11-02,2,Purchase
Abdiel,APPN,"$865,848.00",$50.34,"17,200",Large Shareholder,2022-11-01,2,Purchase
Abdiel,APPN,"$2,170,142.00",$49.66,"43,700",Large Shareholder,2022-11-01,2,Purchase
Abdiel,APPN,"$2,285,436.26",$44.06,"51,871",Large Shareholder,2022-06-21,2,Purchase
Abdiel,APPN,"$1,967,140.40",$43.88,"44,830",Large Shareholder,2022-06-21,2,Purchase
Abdiel,APPN,"$1,346,957.50",$47.50,"28,357",Large Shareholder,2022-06-01,2,Purchase
Abdiel,APPN,"$1,554,725.77",$47.71,"32,587",Large Shareholder,2022-05-31,2,Purchase
Abdiel,APPN,"$832,666.13",$48.47,"17,179",Large Shareholder,2022-05-27,2,Purchase
Abdiel,APPN,"$824,643.30",$45.89,"17,970",Large Shareholder,2022-05-26,2,Purchase
Abdiel,APPN,"$3,191,803.04",$41.48,"76,948",Large Shareholder,2022-05-24,2,Purchase
Abdiel,APPN,"$797,914.08",$40.86,"19,528",Large Shareholder,2022-05-24,2,Purchase
Abdiel,APPN,"$595,915.32",$49.61,"12,012",Large Shareholder,2022-05-20,2,Purchase
Abdiel,APPN,"$843,921.12",$47.39,"17,808",Large Shareholder,2022-05-20,2,Purchase
Abdiel,APPN,"$514,120.65",$46.59,"11,035",Large Shareholder,2022-05-20,2,Purchase
Abdiel,APPN,"$1,352,167.84",$49.36,"27,394",Large Shareholder,2022-05-19,2,Purchase
Abdiel,APPN,"$549,517.38",$48.66,"11,293",Large Shareholder,2022-05-19,2,Purchase
Abdiel,APPN,"$1,213,803.50",$50.47,"24,050",Large Shareholder,2022-05-18,2,Purchase
Abdiel,APPN,"$1,443,378.51",$49.21,"29,331",Large Shareholder,2022-05-18,2,Purchase
Abdiel,APPN,"$6,119,098.02",$48.54,"126,063",Large Shareholder,2022-05-18,2,Purchase
Abdiel,APPN,"$1,403,428.00",$52.00,"26,989",Large Shareholder,2022-05-17,2,Purchase
Abdiel,APPN,"$639,138.24",$51.61,"12,384",Large Shareholder,2022-05-17,2,Purchase
Abdiel,APPN,"$7,758,528.82",$59.42,"130,571",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$5,621,715.09",$58.47,"96,147",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$6,718,645.00",$57.50,"116,846",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$6,071,990.70",$56.46,"107,545",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$5,634,867.14",$55.58,"101,383",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$1,985,400.32",$54.52,"36,416",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$593,408.52",$53.78,"11,034",Large Shareholder,2022-05-10,2,Purchase
Abdiel,APPN,"$530,108.04",$45.32,"11,697",Large Shareholder,2022-05-09,2,Purchase
Abdiel,APPN,"$1,993,961.76",$44.52,"44,788",Large Shareholder,2022-05-09,2,Purchase
Abdiel,APPN,"$10,008,920.32",$43.13,"232,064",Large Shareholder,2022-05-09,2,Purchase
Abdiel,APPN,"$4,222,352.04",$42.87,"98,492",Large Shareholder,2022-05-09,2,Purchase
Abdiel,APPN,"$1,029,250.30",$49.27,"20,890",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$1,709,359.20",$48.60,"35,172",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$3,271,205.17",$47.47,"68,911",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$1,428,408.00",$46.68,"30,600",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$661,046.55",$44.47,"14,865",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$1,851,444.00",$43.40,"42,660",Large Shareholder,2022-05-06,2,Purchase
Abdiel,APPN,"$1,148,937.05",$42.85,"26,813",Large Shareholder,2022-05-06,2,Purchase
Abdiel,CRCT,"$1,434,600.00",$12.00,"119,550",Large Shareholder,2022-05-06,1,Purchase
Abdiel,APPN,"$1,545,546.59",$48.43,"31,913",Large Shareholder,2022-05-05,2,Purchase
Abdiel,APPN,"$3,023,130.48",$47.28,"63,941",Large Shareholder,2022-05-05,2,Purchase
Abdiel,APPN,"$3,857,373.30",$46.70,"82,599",Large Shareholder,2022-05-05,2,Purchase
Abdiel,CRCT,"$1,096,770.87",$12.19,"89,973",Large Shareholder,2022-05-05,1,Purchase
Abdiel,APPN,"$1,272,515.79",$46.41,"27,419",Large Shareholder,2022-05-04,2,Purchase
Abdiel,APPN,"$1,196,185.62",$45.78,"26,129",Large Shareholder,2022-05-04,2,Purchase
Abdiel,CRCT,"$650,538.00",$12.60,"51,630",Large Shareholder,2022-05-04,1,Purchase
Abdiel,APPN,"$642,156.84",$50.31,"12,764",Large Shareholder,2022-05-03,2,Purchase
Abdiel,APPN,"$1,287,865.44",$49.48,"26,028",Large Shareholder,2022-05-03,2,Purchase
Abdiel,APPN,"$550,364.88",$50.52,"10,894",Large Shareholder,2022-05-02,2,Purchase
Abdiel,APPN,"$1,043,064.00",$49.50,"21,072",Large Shareholder,2022-05-02,2,Purchase
Abdiel,CRCT,"$586,235.68",$13.88,"42,236",Large Shareholder,2022-04-20,1,Purchase
Abdiel,CRCT,"$526,400.00",$13.16,"40,000",Large Shareholder,2022-04-12,1,Purchase
Abdiel,APPN,"$617,876.91",$55.41,"11,151",Large Shareholder,2022-04-08,2,Purchase
Abdiel,APPN,"$755,601.44",$54.56,"13,849",Large Shareholder,2022-04-08,2,Purchase
Abdiel,APPN,"$596,114.36",$55.67,"10,708",Large Shareholder,2022-04-07,2,Purchase
Abdiel,CRCT,"$715,644.50",$13.49,"53,050",Large Shareholder,2022-04-07,1,Purchase
Abdiel,CRCT,"$593,550.00",$13.19,"45,000",Large Shareholder,2022-04-01,1,Purchase
Abdiel,CRCT,"$513,522.46",$13.27,"38,698",Large Shareholder,2022-03-31,1,Purchase
Abdiel,CRCT,"$672,332.79",$12.63,"53,233",Large Shareholder,2022-03-18,1,Purchase
Abdiel,APPN,"$1,497,057.12",$59.28,"25,254",Large Shareholder,2022-03-17,2,Purchase
Abdiel,APPN,"$629,520.00",$58.56,"10,750",Large Shareholder,2022-03-17,2,Purchase
Abdiel,APPN,"$1,147,695.15",$51.45,"22,307",Large Shareholder,2022-03-16,2,Purchase
Abdiel,APPN,"$944,660.00",$50.72,"18,625",Large Shareholder,2022-03-16,2,Purchase
Abdiel,APPN,"$1,207,553.62",$48.43,"24,934",Large Shareholder,2022-03-15,2,Purchase
Abdiel,APPN,"$586,607.94",$47.82,"12,267",Large Shareholder,2022-03-15,2,Purchase
Abdiel,APPN,"$1,468,144.15",$47.65,"30,811",Large Shareholder,2022-03-14,2,Purchase
Abdiel,APPN,"$908,221.52",$52.73,"17,224",Large Shareholder,2022-03-11,2,Purchase
Abdiel,APPN,"$905,279.64",$56.46,"16,034",Large Shareholder,2022-03-10,2,Purchase
Abdiel,APPN,"$717,793.89",$55.63,"12,903",Large Shareholder,2022-03-10,2,Purchase
Abdiel,CRCT,"$2,589,865.44",$11.28,"229,598",Large Shareholder,2022-03-10,1,Purchase
Abdiel,CRCT,"$542,491.20",$11.19,"48,480",Large Shareholder,2022-03-09,1,Purchase
Abdiel,CRCT,"$4,495,448.22",$11.19,"401,738",Large Shareholder,2022-03-09,1,Purchase
Abdiel,APPN,"$979,261.56",$56.26,"17,406",Large Shareholder,2022-03-09,2,Purchase
Abdiel,APPN,"$793,646.74",$55.43,"14,318",Large Shareholder,2022-03-09,2,Purchase
Abdiel,APPN,"$989,771.29",$54.59,"18,131",Large Shareholder,2022-03-08,2,Purchase
Abdiel,APPN,"$503,076.00",$53.00,"9,492",Large Shareholder,2022-03-07,2,Purchase
Abdiel,APPN,"$1,448,276.01",$52.59,"27,539",Large Shareholder,2022-03-07,2,Purchase
Abdiel,APPN,"$540,538.64",$60.49,"8,936",Large Shareholder,2022-03-01,2,Purchase
Abdiel,CRCT,"$647,847.60",$16.62,"38,980",Large Shareholder,2022-02-28,1,Purchase
Abdiel,CRCT,"$2,024,482.20",$16.62,"121,810",Large Shareholder,2022-02-25,1,Purchase
Abdiel,CRCT,"$821,214.76",$16.69,"49,204",Large Shareholder,2022-02-24,1,Purchase
Abdiel,APPN,"$564,824.40",$53.20,"10,617",Large Shareholder,2022-02-24,2,Purchase
Abdiel,APPN,"$2,709,211.12",$52.36,"51,742",Large Shareholder,2022-02-23,2,Purchase
Abdiel,APPN,"$1,841,094.42",$51.69,"35,618",Large Shareholder,2022-02-23,2,Purchase
Abdiel,CRCT,"$1,471,783.64",$19.43,"75,748",Large Shareholder,2022-02-17,1,Purchase
Abdiel,CRCT,"$559,013.92",$20.26,"27,592",Large Shareholder,2022-02-16,1,Purchase
Abdiel,CRCT,"$827,104.19",$20.11,"41,129",Large Shareholder,2022-02-15,1,Purchase
Abdiel,CRCT,"$1,323,725.20",$19.60,"67,537",Large Shareholder,2022-02-14,1,Purchase
Abdiel,CRCT,"$696,316.24",$19.82,"35,132",Large Shareholder,2022-02-11,1,Purchase
Abdiel,CRCT,"$2,594,517.12",$18.72,"138,596",Large Shareholder,2022-02-03,1,Purchase
Abdiel,CRCT,"$1,273,508.89",$18.73,"67,993",Large Shareholder,2022-02-02,1,Purchase
Abdiel,APPN,"$2,486,843.45",$59.15,"42,043",Large Shareholder,2022-02-01,2,Purchase
Abdiel,APPN,"$3,420,200.55",$58.53,"58,435",Large Shareholder,2022-02-01,2,Purchase
Abdiel,APPN,"$615,667.68",$57.69,"10,672",Large Shareholder,2022-02-01,2,Purchase
Abdiel,CRCT,"$2,800,761.10",$19.45,"143,998",Large Shareholder,2022-02-01,1,Purchase
Abdiel,CRCT,"$675,377.04",$19.76,"34,179",Large Shareholder,2022-01-31,1,Purchase
Abdiel,CRCT,"$667,194.66",$18.99,"35,134",Large Shareholder,2022-01-28,1,Purchase
Abdiel,CRCT,"$563,385.60",$19.20,"29,343",Large Shareholder,2022-01-27,1,Purchase
Abdiel,CRCT,"$637,969.50",$18.90,"33,755",Large Shareholder,2022-01-27,1,Purchase
Abdiel,CRCT,"$1,527,987.60",$20.08,"76,095",Large Shareholder,2022-01-26,1,Purchase
Abdiel,APPN,"$569,992.59",$48.83,"11,673",Large Shareholder,2022-01-25,2,Purchase
Abdiel,CRCT,"$809,611.60",$19.90,"40,684",Large Shareholder,2022-01-25,1,Purchase
Abdiel,APPN,"$655,275.88",$47.47,"13,804",Large Shareholder,2022-01-24,2,Purchase
Abdiel,CRCT,"$546,850.37",$19.69,"27,773",Large Shareholder,2022-01-24,1,Purchase
Abdiel,CRCT,"$1,350,680.26",$18.19,"74,254",Large Shareholder,2022-01-24,1,Purchase
Abdiel,CRCT,"$1,120,877.44",$19.52,"57,422",Large Shareholder,2022-01-21,1,Purchase
Abdiel,CRCT,"$1,233,559.80",$20.52,"60,115",Large Shareholder,2022-01-20,1,Purchase
Abdiel,CRCT,"$1,661,894.28",$20.52,"80,989",Large Shareholder,2022-01-19,1,Purchase
Abdiel,CRCT,"$1,079,752.65",$20.05,"53,853",Large Shareholder,2022-01-18,1,Purchase
Abdiel,CRCT,"$655,500.00",$21.85,"30,000",Large Shareholder,2022-01-03,1,Purchase
Abdiel,CRCT,"$546,250.00",$21.85,"25,000",Large Shareholder,2022-01-03,1,Purchase
Abdiel,APPN,"$3,755,446.80",$45.29,"82,920",Large Shareholder,2023-02-16,2,Purchase
Abdiel,APPN,"$543,631.44",$44.88,"12,113",Large Shareholder,2023-02-16,2,Purchase
Abdiel,APPN,"$1,180,685.29",$43.39,"27,211",Large Shareholder,2023-02-08,2,Purchase
Abdiel,APPN,"$896,979.05",$42.85,"20,933",Large Shareholder,2023-02-08,2,Purchase
Abdiel,APPN,"$755,157.00",$43.35,"17,420",Large Shareholder,2023-02-07,2,Purchase
Abdiel,APPN,"$1,884,421.92",$42.72,"44,111",Large Shareholder,2023-02-06,2,Purchase
Abdiel,APPN,"$511,251.78",$41.34,"12,367",Large Shareholder,2023-02-01,2,Purchase
Abdiel,APPN,"$1,239,900.00",$41.33,"30,000",Large Shareholder,2023-01-31,2,Purchase
Abdiel,APPN,"$773,332.48",$41.24,"18,752",Large Shareholder,2023-01-30,2,Purchase
Abdiel,APPN,"$819,545.76",$40.92,"20,028",Large Shareholder,2023-01-30,2,Purchase
Abdiel,APPN,"$784,380.90",$41.55,"18,878",Large Shareholder,2023-01-27,2,Purchase
Abdiel,APPN,"$695,105.80",$41.15,"16,892",Large Shareholder,2023-01-26,2,Purchase
Abdiel,APPN,"$1,146,208.05",$40.65,"28,197",Large Shareholder,2023-01-26,2,Purchase
Abdiel,APPN,"$883,430.48",$39.46,"22,388",Large Shareholder,2023-01-25,2,Purchase
Abdiel,APPN,"$1,023,697.61",$41.21,"24,841",Large Shareholder,2023-01-24,2,Purchase
Abdiel,APPN,"$2,430,178.80",$40.53,"59,960",Large Shareholder,2023-01-24,2,Purchase
Abdiel,APPN,"$616,355.35",$40.43,"15,245",Large Shareholder,2023-01-23,2,Purchase
Abdiel,APPN,"$4,227,667.20",$38.63,"109,440",Large Shareholder,2023-01-20,2,Purchase
